ID,PR,USER,BUYER,PF,URGENT,Assignment Group,Company Code
PR775788,,CPaula,JGonzalez366,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR782618,,OCARMONA2,MMarchena,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR782679,,LRaggasine,JGonzalez366,,1,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR787961,,MMORAES5,MDuarte6,,1,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR787967,,VCaldas2,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR787981,,SFELIPE,JGonzalez366,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788001,,VCaldas2,MDuarte6,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788011,,LLEAL7,MMarchena,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR788038,,LMorais2,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788069,,BMARQUES,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788090,,LSantos55,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788170,,VRAMOS3,MDuarte6,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788225,,VRAMOS3,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788229,,LLEAL7,RRomero36,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR788329,,LMorais2,JGonzalez366,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788344,,VLOCATELLI,MDuarte6,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788361,,LMorais2,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788364,,DSIMOES2,MDuarte6,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788413,,SVICENTE2,JGonzalez366,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788434,,SVICENTE2,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788439,,SVICENTE2,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR788524,,VAburto,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR788598,,EMunoz14,JGonzalez366,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR788652,,LLEAL7,JGonzalez366,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR788719,,VAburto,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR788732,,LLEAL7,RRomero36,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
